"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @C_Barraud: 🇺🇸 *#FDA cautions against use of #hydroxychloroquine or #chloroquine for #COVID19 outside of the hospital setting or a clini…","en","British Columbia, Canada",0,0,1,0,"neu",2020-04-24,"British Columbia","Canada",0
"The scientific advances we need to stop COVID-19
https://t.co/rSHouRf4Ra","en","Ontario, Canada",-0.296,0.355,0.645,0,"neg",2020-04-24,"Ontario","Canada",-1
"RT @TorontoStar: NEW: @JustinTrudeau announces new program that will lower rents for eligible small and medium-sized businesses by 75 per c…","en","Canada",-0.296,0.167,0.833,0,"neg",2020-04-24,NA,"Canada",-1
"RT @robintatam: Where do I even begin?! VP of Finance of all people created a fake profile (?!) and after being fired, later ‘hacked’ in an…","en","New Glasgow, NS, Canada",-0.6705,0.379,0.621,0,"neg",2020-04-24,"New Glasgow","Canada",-1
"@BrownDeerRepub @PolitiFactWisc But the number of reported cases is on the rise ... so not a real decline? 
https://t.co/9JolFZtAns","en","Halifax, Nova Scota, Canada",0.0772,0,0.794,0.206,"pos",2020-04-24,"Halifax","Canada",1
"RT @TorontoStar: Lewis Lawson has COVID-19 and kidney failure. But amid the coronavirus outbreak, routine dialysis treatment has come with…","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"RT @PeterAlexander: NEW: “FDA cautions against use of hydroxychloroquine or chloroquine for COVID-19 outside of the hospital setting or a c…","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"RT @Taheri_Movement: #Iran urged to immediately release #prisonersofconscience and dual and foreign nationals at risk of #Covid_19
 The cou…","en","Canada",-0.2732,0.231,0.769,0,"neg",2020-04-24,NA,"Canada",-1
"RT @CBCNews: Ariis Knight, 40, died alone at Peace Arch Hospital in Metro Vancouver because caregivers were not allowed due to COVID-19 ban…","en","Ontario, Canada",-0.765,0.368,0.539,0.093,"neg",2020-04-24,"Ontario","Canada",-1
"RT @MaryamShahLive: ‘It has been hectic’: First Nation in Alberta fighting COVID-19 case, annual floods | https://t.co/fbDTMNiNhc https://t…","en","Toronto, Canada",-0.3818,0.245,0.755,0,"neg",2020-04-24,"Toronto","Canada",-1
"Councillor @rawlsonking will be holding a Small Business Roundtable on Wednesday, April 29 at 1 pm via Facebook Liv… https://t.co/ujsa41kgX1","en","Ottawa, Canada",0,0,1,0,"neu",2020-04-24,"Ottawa","Canada",0
"RT @michael_muscato: Arizona has a dark history with political violence. Starting with the family at the top of our AZ ticket this election…","en","Canada",0.2023,0,0.847,0.153,"pos",2020-04-24,NA,"Canada",1
"RT @CJEMonline: Just the Facts: Protected Code Blue - CPR in the ED during the COVID-19 pandemic. 
An excellent guide to the PCB by Dr. Sar…","en","Canada",0.6808,0,0.663,0.337,"pos",2020-04-24,NA,"Canada",1
"RT @ONThealth: Ontario has introduced a new measure to allow #MentalHealth and addictions agencies to redeploy staff, hire part-time / temp…","en","Ontario, Canada",0.2263,0,0.863,0.137,"pos",2020-04-24,"Ontario","Canada",1
"RT @AMYACanada: @AMYACanada has launched a new initiative called #NeighbourhoodHelper to help Canadians who need assistance during the #Cov…","en","Toronto, Canada",0.4019,0,0.722,0.278,"pos",2020-04-24,"Toronto","Canada",1
"New Brunswick, we did it! Flattened the COVID-19 curve. And now, our beaches and parks are open! Here are a few sho… https://t.co/0Tqw1UpnvV","en","Fredericton, NB, Canada",0,0,1,0,"neu",2020-04-25,"Fredericton","Canada",0
"RT @kgosztola: Federal Judge Randal Hall rejected NSA whistleblower Reality Winner's request for release from FMC Carswell, even as COVID-1…","en","Nova Scotia, Canada",0.2732,0.138,0.667,0.195,"pos",2020-04-25,"Nova Scotia","Canada",1
"RT @SteveRustad1: 890,000 Americans have been stricken by COVID-19.

51,000 are dead.

22,000,000 have lost their jobs.

Why the hell does…","en","Toronto,Ontario,Canada",-0.9382,0.829,0.171,0,"neg",2020-04-25,"Toronto","Canada",-1
"RT @CTVNewsNorthern: Dr. Majambu Mbikay is one of two Canadian doctors invited by China to begin trials with a promising COVID-19 drug they…","en","Québec, Canada",0,0,1,0,"neu",2020-04-25,"Québec","Canada",0
"RT @SaadAliKhannn: #ArabsExposingRSS Arabs fire back as Indians step up anti-Muslim rhetoric on Covid-19 on twitter. https://t.co/30FevbhjfT","en","Alberta, Canada",-0.5719,0.37,0.63,0,"neg",2020-04-25,"Alberta","Canada",-1
"@MaximeBernier Trudeau is giving money away like candy! I can promise you I will NOT be around to help pay for it!… https://t.co/PZENXRpgoe","en","Canada",0.5859,0.103,0.515,0.382,"pos",2020-04-25,NA,"Canada",1
"RT @IsaacNunezs22: @CT_Bergstrom @WSJ Why there's still covid-19 related content behind paywalls is beyond me.","en","Ottawa, Canada",0,0,1,0,"neu",2020-04-25,"Ottawa","Canada",0
"RT @jdportes: I explain here how austerity left us in a far worse position going into this crisis: 

https://t.co/inZTuiDZov

And here why…","en","Halifax, Nova Scotia, Canada",0,0,1,0,"neu",2020-04-25,"Halifax","Canada",0
"@genghis498 @JoeBiden ""UV light is so effective at killing bacteria and viruses it’s often used in hospitals to ste… https://t.co/Bx9AsLEAqC","en","Nova Scotia, Canada",-0.6908,0.343,0.657,0,"neg",2020-04-25,"Nova Scotia","Canada",-1
"RT @cbcnewsbc: Coquitlam poultry plant closed after COVID-19 outbreak detected 

https://t.co/evOdmsIa9O","en","Vancouver, BC, Canada",0,0,1,0,"neu",2020-04-25,"Vancouver","Canada",0
"RT @JackMaxey1: Must watch video. Two doctors from CA say enough. They are largest testers in Kern CA. Cure worse than disease. Hospitals e…","en","Canada",0,0,1,0,"neu",2020-04-25,NA,"Canada",0
"RT @ndhapple: The nursing home was struggling. Its top executive asked the state Health Department to transfer coronavirus patients to the…","en","Canada",0.2023,0,0.859,0.141,"pos",2020-04-25,NA,"Canada",1
"RT @MeetInKenya: Event Alert: Register for the @Min_TourismKE Post COVID-19 Leap Forward Webinar on Monday 27th starting at 3PM. https://t.…","en","Canada",0.296,0,0.833,0.167,"pos",2020-04-25,NA,"Canada",1
"RT @HelenBranswell: What's the way forward in life AC (after coronavirus)? Until there's vaccine, we're going to need to rely on layered pu…","en","Toronto, Ontario, Canada",-0.2732,0.174,0.826,0,"neg",2020-04-25,"Toronto","Canada",-1
"We must look out for one another and consider the growing need. Please drop off food for #MarkhamCares Food Drive a… https://t.co/lpPI7h9P9N","en","Markham, Ontario, Canada",-0.2732,0.16,0.84,0,"neg",2020-04-25,"Markham","Canada",-1
"RT @RVPressReleases: .@Airstream CEO Addresses #COVID-19 Pandemic https://t.co/3knLK06zdu","en","USA, Canada",0,0,1,0,"neu",2020-04-25,"USA","Canada",0
"Brandon COVID-19 Testing Site is located at the Town Centre parkade in Brandon.  Remember an appointment is require… https://t.co/W2Pv5jlr4K","en","Manitoba, Canada",0,0,1,0,"neu",2020-04-25,"Manitoba","Canada",0
"Alberta oil is now the collateral damage of the oil war between Russia and Saudi Arabia, with COVID-19 launching an… https://t.co/ybCxAyR1pU","en","Canada",-0.5994,0.281,0.719,0,"neg",2020-04-25,NA,"Canada",-1
