"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @IBInews: Covid-19 “wreaking havoc” on Europe tourism | Hanse makes investment case | B&amp;G’s latest launch | Bower to head Winnebago Outd…","en","Toronto, Ontario, Canada",-0.5994,0.218,0.782,0,"neg",2020-09-25,"Toronto","Canada",-1
"The program is trying to ensure that COVID-19 vaccines aren't just hoarded by rich countries. https://t.co/Z9P8rEgBXC","en","Canada",0.5574,0,0.66,0.34,"pos",2020-09-26,NA,"Canada",1
"RT @kingstonist: The Kingstonist has reached out to KHSC for further details on how the assessment centres are staffed, and what recruiting…","en","Kingston, Ontario, Canada",0.0258,0,0.864,0.136,"pos",2020-09-26,"Kingston","Canada",1
"RT @Christi45657364: According to official statement from NZ Ministry of Health in July ""the virus"" had been isolated by the Institute of E…","en","BC, Canada",0,0,1,0,"neu",2020-09-26,"BC","Canada",0
"RT @YourJediMinion: Biden supports open borders, sanctuary cities for criminals, free health care &amp; lawyers for illegals paid for with our…","en","Alberta, Canada",0.8481,0,0.521,0.479,"pos",2020-09-27,"Alberta","Canada",1
"BYU a bit shorthanded, due to injuries and COVID-19, vs. Troy Saturday night - Deseret News https://t.co/YUgxf7JwhX","en","Canada",0,0,1,0,"neu",2020-09-27,NA,"Canada",0
"RT @GovCanHealth: When #physicaldistancing is difficult, wear a mask if you can. We’ve got some do’s and don’ts that can help:
https://t.co…","en","Ontario, Canada",0.0516,0.305,0.366,0.329,"pos",2020-09-27,"Ontario","Canada",1
"Can Canada's border be reopened safely in a COVID-19 world? Here are some of the options experts are looking at https://t.co/fvUZ0UlYRj","en","Windsor, Ontario, Canada",0.4404,0,0.734,0.266,"pos",2020-09-28,"Windsor","Canada",1
"RT @ambermac: I am proud to wear a mask 😷 &amp; I believe the science behind wearing a mask.

I trust the 🇨🇦 COVID Alert App &amp; I use it on my p…","en","Toronto, Ontario, Canada",0.8225,0,0.538,0.462,"pos",2020-09-28,"Toronto","Canada",1
"Speaking of mixed-messages, Ontario is no better.

My kids' school  revealed a COVID case last night.  According to… https://t.co/bLHziAEs0Q","en","Toronto, Canada",0.4404,0,0.805,0.195,"pos",2020-09-28,"Toronto","Canada",1
"Bitcoin Miner Maker Ebang Narrows First Half Loss To $7 Million, as #Covid19 Hit Demand - #ASICChips #BitcoinMiners… https://t.co/c2eRCMVk6F","en","Bathurst, New Brunswick, Canada",-0.4215,0.297,0.703,0,"neg",2020-09-29,"Bathurst","Canada",-1
"RT @AndrewSmithNews: #BREAKING: More than 1 million COVID-19 deaths have been reported worldwide, according to Johns Hopkins University dat…","en","Ontario, Canada",-0.5994,0.302,0.698,0,"neg",2020-09-29,"Ontario","Canada",-1
"As mandated in many jurisdictions around the world, I'm wearing a loose fitting #mask made out of...ordinary cloth.… https://t.co/Rb2pOypJAM","en","Calgary, Alberta, Canada",0.3612,0,0.8,0.2,"pos",2020-09-29,"Calgary","Canada",1
"Vast majority of schools with COVID-19 have only one or two cases https://t.co/3s3V2INeBz","en","Canada",0,0,1,0,"neu",2020-09-30,NA,"Canada",0
"RT @JohnTory: Burst social bubbles and get close only with household members, Toronto says amid accelerating surge in COVID-19 infections h…","en","Canada",0,0,1,0,"neu",2020-09-30,NA,"Canada",0
"RT @sunlorrie: 'We don't honour China's thug Communist dictators who hid the severity of COVID-19 from the world, imprison Uighur Muslims i…","en","British Columbia, Canada",0.5106,0.093,0.662,0.245,"pos",2020-09-30,"British Columbia","Canada",1
"RT @The12fthOfNever: Aid agencies welcomed 🇨🇦Canada’s commitment on Tuesday of an extra $400 million in #development and #humanitarian spen…","en","Alberta, Canada",0.296,0,0.784,0.216,"pos",2020-10-01,"Alberta","Canada",1
"RT @AMAPCEO: Have you downloaded Canada's COVID app yet?

The app can tell you if you have been in contact with others who have reported be…","en","Canada",0,0,1,0,"neu",2020-10-01,NA,"Canada",0
"With live video shoots hobbled by COVID-19, Esperion made an all-stock TV commercial instead… https://t.co/zufIEoxoSV","en","Canada",-0.34,0.194,0.806,0,"neg",2020-10-01,NA,"Canada",-1
"RT @FLOTUS: As too many Americans have done this year, @potus &amp; I are quarantining at home after testing positive for COVID-19. We are feel…","en","Rankin inlet , Nunavut ,Canada",0,0,1,0,"neu",2020-10-02,"Rankin inlet","Canada",0
"Apparently there's 1 million new depression cases in the UK since covid 19 that's insane.","en","Canada",-0.4939,0.286,0.714,0,"neg",2020-10-02,NA,"Canada",-1
"RT @PeterAlexander: “Mayor Rudy Giuliani will be getting tested for COVID-19 today. In the meantime, he has begun the quarantine process,”…","en","Toronto, Canada",0,0,1,0,"neu",2020-10-02,"Toronto","Canada",0
"RT @HelenaAva12: #IRGC must be disbanded &amp; its funding must be allocated to combatting #coronavirus pandemic as well as the provision of he…","en","Canada",-0.0772,0.209,0.609,0.183,"neg",2020-10-03,NA,"Canada",-1
"RT @JuliaEAinsley: I asked Secret Service about its agents’ COVID exposure. Answer: “For privacy and operational security reasons, the Secr…","en","Canada",0,0,1,0,"neu",2020-10-03,NA,"Canada",0
"RT @CBCAlerts: Toronto calls on Ontario to impose strict 4-week limitations to prevent spread of COVID-19. Includes ban on indoor restauran…","en","Canada",-0.5423,0.216,0.719,0.066,"neg",2020-10-03,NA,"Canada",-1
"Madrid starts partial Covid-19 lockdown amid political dispute https://t.co/cohEejXscR via @FRANCE24","en","Ottawa, Canada",0,0,1,0,"neu",2020-10-04,"Ottawa","Canada",0
"@realDonaldTrump He doesn’t have Covid-19, it’s just political","en","Canada",0,0,1,0,"neu",2020-10-04,NA,"Canada",0
"@michaelmuhney Thank you ! 210,000 lives are lost and 34,000 fall ill with Covid-19 daily . And Not once did he enc… https://t.co/YwlV02jGYe","en","British Columbia, Canada",-0.3818,0.405,0.397,0.198,"neg",2020-10-04,"British Columbia","Canada",-1
"RT @YongKhor1: Walter Reed physician: Trump sent 'wrong message' that it's 'OK to go out' with COVID-19 https://t.co/Ym5I1FyjFH","en","Nova Scotia, Canada",-0.2263,0.233,0.602,0.165,"neg",2020-10-05,"Nova Scotia","Canada",-1
"#FordFailedThePeople #FordFailedThePeople #FordFailedThePeople #FordFailedThePeople #FordFailedThePeople… https://t.co/jVWd62SPw0","en","Toronto,Ontario,Canada",0,0,1,0,"neu",2020-10-05,"Toronto","Canada",0
"RT @CP24: Canada 'failed' to keep health workers safe from COVID-19, new report says
https://t.co/g0kSUMTqdS","en","Canada",-0.1531,0.243,0.556,0.201,"neg",2020-10-05,NA,"Canada",-1
"RT @ZemanLynnZ: @kayleighmcenany @realDonaldTrump With #PressSec’ COVID19 infection, there are now MORE recorded #COVID cases in the mask-l…","en","Canada",0,0,1,0,"neu",2020-10-06,NA,"Canada",0
"What can we learn from kids who thrived during COVID-19 lockdown? My latest ⁦@Spacing⁩  https://t.co/IiTQOCLHZf","en","Toronto, Canada",0,0,1,0,"neu",2020-10-06,"Toronto","Canada",0
"@LauraBray__ Are they from human stem cells? “To develop REGN-COV2, Regeneron scientists evaluated thousands of ful… https://t.co/3YJ39ezXTl","en","Vancouver, British Columbia, Canada",0,0,1,0,"neu",2020-10-06,"Vancouver","Canada",0
"RT @thefairelection: @LarryStratton29 @sooze555 Very prescient and scary predictions, and that was before Trump’s Covid-19 incompetence too…","en","Ontario, Canada",0,0,1,0,"neu",2020-10-07,"Ontario","Canada",0
"RT @CNET: Facebook, Twitter block Trump post for spreading COVID-19 misinformation https://t.co/KSu0XZY4Xi","en","Nova Scotia, Canada",-0.4404,0.293,0.707,0,"neg",2020-10-07,"Nova Scotia","Canada",-1
"RT @thehill: Facebook removes Trump post comparing COVID-19 to flu https://t.co/P9pGDMalyU https://t.co/TeA9dVmDlb","en","Canada",-0.3818,0.302,0.698,0,"neg",2020-10-07,NA,"Canada",-1
"RT @calliewine: Thank you for the concern! I will begin quarantine now and get a COVID-19 test promptly!","en","Ontario, Canada",0.3612,0,0.737,0.263,"pos",2020-10-08,"Ontario","Canada",1
"RT @mynameisjro: Mike Pence led the biggest concentrated HIV outbreak in U.S. history while he was governor in Indiana because he opposed n…","en","Canada",0,0,1,0,"neu",2020-10-08,NA,"Canada",0
"Luciferase Quantum Dot #COVID-19 Vaccinations - The Bill and Melinda Gates Satanic Agenda (Video) https://t.co/c8MQ2CppVY via @TheLightArk","en","Québec, Canada",0,0,1,0,"neu",2020-10-08,"Québec","Canada",0
"RT @Yr_Obt_Svt: Where are
Ivanka
Jared
Bill Barr
Rudy Giuliani
Mike Pompeo
and
Mike Pence
and have they tested positive for Covid-19?","en","British Columbia, Canada",0,0,1,0,"neu",2020-10-09,"British Columbia","Canada",0
"""While a number of our parishes continued to receive offerings and donations via drop-off collections and electroni… https://t.co/sFMJ4x4TA3","en","Newfoundland, Canada",-0.2023,0.184,0.702,0.114,"neg",2020-10-09,"Newfoundland","Canada",-1
"RT @pablo_honey1: @realDonaldTrump I don't know. Maybe it has something to do with you dismissing the deaths of the 8,314 Pennsylvanians wh…","en","Canada",-0.5994,0.394,0.606,0,"neg",2020-10-09,NA,"Canada",-1
